tag,year,unanswered,total
Arc,2007,0,0
Arc,2008,0,0
Arc,2009,0,0
Arc,2010,0,1
Arc,2011,21,377
Arc,2012,150,1242
Arc,2013,149,814
Arc,2014,150,438
PCASTL,2007,0,0
PCASTL,2008,0,0
PCASTL,2009,0,0
PCASTL,2010,0,0
PCASTL,2011,0,0
PCASTL,2012,0,0
PCASTL,2013,0,0
PCASTL,2014,0,0
Objective-J,2007,0,0
Objective-J,2008,0,2
Objective-J,2009,0,8
Objective-J,2010,2,25
Objective-J,2011,2,20
Objective-J,2012,1,10
Objective-J,2013,3,7
Objective-J,2014,2,2
DECLAN Pro,2007,0,0
DECLAN Pro,2008,0,0
DECLAN Pro,2009,0,0
DECLAN Pro,2010,0,0
DECLAN Pro,2011,0,0
DECLAN Pro,2012,0,0
DECLAN Pro,2013,0,0
DECLAN Pro,2014,0,0
M,2007,0,0
M,2008,0,5
M,2009,0,1
M,2010,0,1
M,2011,0,0
M,2012,0,1
M,2013,3,6
M,2014,7,10
Reia,2007,0,0
Reia,2008,0,0
Reia,2009,0,0
Reia,2010,0,0
Reia,2011,0,0
Reia,2012,0,0
Reia,2013,0,0
Reia,2014,0,0
Microsoft Small Basic,2007,0,0
Microsoft Small Basic,2008,0,0
Microsoft Small Basic,2009,0,0
Microsoft Small Basic,2010,0,0
Microsoft Small Basic,2011,0,0
Microsoft Small Basic,2012,0,0
Microsoft Small Basic,2013,0,0
Microsoft Small Basic,2014,0,0
Boomerang,2007,0,0
Boomerang,2008,0,0
Boomerang,2009,0,0
Boomerang,2010,0,0
Boomerang,2011,0,0
Boomerang,2012,1,2
Boomerang,2013,2,3
Boomerang,2014,1,5
Ambi,2007,0,0
Ambi,2008,0,0
Ambi,2009,0,0
Ambi,2010,0,0
Ambi,2011,0,0
Ambi,2012,0,0
Ambi,2013,0,0
Ambi,2014,0,0
Axum,2007,0,0
Axum,2008,0,0
Axum,2009,0,1
Axum,2010,0,1
Axum,2011,0,1
Axum,2012,0,0
Axum,2013,0,0
Axum,2014,0,0
Go,2007,0,0
Go,2008,0,0
Go,2009,0,78
Go,2010,0,149
Go,2011,0,355
Go,2012,6,921
Go,2013,101,2071
Go,2014,403,3474
Genie,2007,0,0
Genie,2008,0,0
Genie,2009,0,0
Genie,2010,0,1
Genie,2011,0,5
Genie,2012,1,3
Genie,2013,2,3
Genie,2014,4,6
Objeck,2007,0,0
Objeck,2008,0,0
Objeck,2009,0,0
Objeck,2010,0,0
Objeck,2011,0,0
Objeck,2012,0,0
Objeck,2013,0,0
Objeck,2014,0,0
Rust,2007,0,0
Rust,2008,0,0
Rust,2009,0,0
Rust,2010,0,2
Rust,2011,0,0
Rust,2012,0,27
Rust,2013,7,141
Rust,2014,71,880
Fancy,2007,0,0
Fancy,2008,0,0
Fancy,2009,0,0
Fancy,2010,0,0
Fancy,2011,0,0
Fancy,2012,0,0
Fancy,2013,0,0
Fancy,2014,0,0
Alpoca,2007,0,0
Alpoca,2008,0,0
Alpoca,2009,0,0
Alpoca,2010,0,0
Alpoca,2011,0,0
Alpoca,2012,0,0
Alpoca,2013,0,0
Alpoca,2014,0,0
Less,2007,0,0
Less,2008,0,0
Less,2009,2,9
Less,2010,2,54
Less,2011,9,226
Less,2012,109,841
Less,2013,207,1174
Less,2014,453,1269
Opa,2007,0,0
Opa,2008,0,0
Opa,2009,0,0
Opa,2010,0,0
Opa,2011,8,73
Opa,2012,10,73
Opa,2013,3,17
Opa,2014,8,12
CoffeeScript,2007,0,0
CoffeeScript,2008,0,0
CoffeeScript,2009,0,1
CoffeeScript,2010,0,23
CoffeeScript,2011,36,760
CoffeeScript,2012,194,1707
CoffeeScript,2013,458,2158
CoffeeScript,2014,783,1987
MoonScript,2007,0,0
MoonScript,2008,0,0
MoonScript,2009,0,0
MoonScript,2010,0,0
MoonScript,2011,0,0
MoonScript,2012,0,0
MoonScript,2013,1,1
MoonScript,2014,1,3
Julia,2007,0,0
Julia,2008,0,0
Julia,2009,0,0
Julia,2010,0,0
Julia,2011,0,0
Julia,2012,0,0
Julia,2013,0,0
Julia,2014,3,4
ParaSail,2007,0,0
ParaSail,2008,0,0
ParaSail,2009,0,0
ParaSail,2010,0,0
ParaSail,2011,0,0
ParaSail,2012,0,0
ParaSail,2013,0,0
ParaSail,2014,0,0
Elixir,2007,0,0
Elixir,2008,0,0
Elixir,2009,0,0
Elixir,2010,0,0
Elixir,2011,0,0
Elixir,2012,0,2
Elixir,2013,2,47
Elixir,2014,8,192
Stylus,2007,0,0
Stylus,2008,0,0
Stylus,2009,0,0
Stylus,2010,0,0
Stylus,2011,0,9
Stylus,2012,8,67
Stylus,2013,27,84
Stylus,2014,43,127
X#,2007,0,0
X#,2008,0,0
X#,2009,0,0
X#,2010,0,0
X#,2011,0,0
X#,2012,0,0
X#,2013,0,0
X#,2014,0,0
Nimrod,2007,0,0
Nimrod,2008,0,0
Nimrod,2009,0,0
Nimrod,2010,0,0
Nimrod,2011,0,0
Nimrod,2012,0,0
Nimrod,2013,0,7
Nimrod,2014,0,9
DAG,2007,0,0
DAG,2008,0,1
DAG,2009,0,14
DAG,2010,4,29
DAG,2011,5,34
DAG,2012,12,61
DAG,2013,15,66
DAG,2014,25,55
BAIL,2007,0,0
BAIL,2008,0,0
BAIL,2009,0,0
BAIL,2010,0,0
BAIL,2011,0,0
BAIL,2012,0,0
BAIL,2013,0,0
BAIL,2014,0,0
Nemo,2007,0,0
Nemo,2008,0,0
Nemo,2009,0,0
Nemo,2010,0,0
Nemo,2011,0,0
Nemo,2012,0,0
Nemo,2013,0,0
Nemo,2014,0,0
Ya,2007,0,0
Ya,2008,0,0
Ya,2009,0,0
Ya,2010,0,0
Ya,2011,0,0
Ya,2012,0,0
Ya,2013,0,0
Ya,2014,0,0
Nock,2007,0,0
Nock,2008,0,0
Nock,2009,0,0
Nock,2010,0,0
Nock,2011,0,0
Nock,2012,0,0
Nock,2013,0,2
Nock,2014,1,2
P*,2007,0,0
P*,2008,0,0
P*,2009,0,0
P*,2010,0,0
P*,2011,0,0
P*,2012,0,0
P*,2013,0,0
P*,2014,0,1
ELI,2007,0,0
ELI,2008,0,0
ELI,2009,0,0
ELI,2010,0,0
ELI,2011,0,0
ELI,2012,0,0
ELI,2013,0,0
ELI,2014,0,0
LFE,2007,0,0
LFE,2008,0,0
LFE,2009,0,1
LFE,2010,0,1
LFE,2011,0,1
LFE,2012,0,2
LFE,2013,0,0
LFE,2014,0,0
LiveScript,2007,0,0
LiveScript,2008,0,0
LiveScript,2009,0,0
LiveScript,2010,0,0
LiveScript,2011,0,0
LiveScript,2012,0,3
LiveScript,2013,1,14
LiveScript,2014,7,26
Swift,2007,0,0
Swift,2008,0,0
Swift,2009,0,1
Swift,2010,0,1
Swift,2011,1,3
Swift,2012,0,1
Swift,2013,0,1
Swift,2014,3890,12737
